Mods count: 58
 
jar name                                                                     | mod id (isMCreator)                                | mixin configs
    /META-INF/jars/fabric-networking-api-v1-1.3.8+b3afc78b82.jar             | fabric-networking-api-v1                           | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.6+b3afc78b82.jar                 | fabric-screen-api-v1                               | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-rendering-v1-3.0.6+b3afc78b82.jar                  | fabric-rendering-v1                                | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.7+f7923f6d82.jar           | fabric-resource-loader-v0                          | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
packetfixer-3.3.1-1.18-1.20.4-merged.jar                                     | packetfixer                                        | packetfixer.v1_20_2.neoforge.mixins.json, packetfixer.v1_20_2.fabric.mixins.json, packetfixer.v1_19_3.fabric.mixins.json, packetfixer.v1_19_4.forge.mixins.json, packetfixer.v1_19_3.forge.mixins.json, packetfixer.v1_18.forge.mixins.json, packetfixer.v1_20_2.forge.mixins.json, packetfixer.v1_19.forge.mixins.json, packetfixer.v1_18.fabric.mixins.json, packetfixer.v1_19.fabric.mixins.json
PuzzlesLib-v8.1.33-1.20.1-Fabric.jar                                         | puzzleslib                                         | puzzleslib.common.mixins.json, puzzleslib.fabric.mixins.json
    /META-INF/jars/puzzlesaccessapi-fabric-20.1.1.jar                        | puzzlesaccessapi                                   | puzzlesaccessapi.common.mixins.json, puzzlesaccessapi.fabric.mixins.json
qfapi-7.7.0_qsl-6.3.0_fapi-0.92.2_mc-1.20.1.jar                              |                                                    | 
    /META-INF/jars/advancement-6.3.0+1.20.1.jar                              |                                                    | 
    /META-INF/jars/biome-6.3.0+1.20.1.jar                                    |                                                    | quilt_biome.mixins.json
    /META-INF/jars/block_content_registry-6.3.0+1.20.1.jar                   |                                                    | quilt_block_content_registry.mixins.json
    /META-INF/jars/block_entity-6.3.0+1.20.1.jar                             |                                                    | quilt_block_entity.mixins.json
